SimNr;Rep;Ni;r;K;N A fix;N a fix;s_A;attempts;h_A;p_A_i;Prob A fix;sd A fix;Aver A gen;sd A gen;Prob a fix;sd a fix;Aver a gen;sd a gen
1;1;10;0.08;1000;821.3941769316909;150.7289719626168;0.02;1000;0.50000000;0.50000000;0.89;0.01;365.16237402;240.8677515706;0.11;0.01;37.16;64.97
1;2;10;0.08;1000;832.5034090909091;141.525;0.02;1000;0.50000000;0.50000000;0.88;0.01;371.59772727;240.7604373161;0.12;0.01;30.27;40.00
1;3;10;0.08;1000;837.9605411499437;97.76106194690266;0.02;1000;0.50000000;0.50000000;0.89;0.01;372.61555806;240.9947018960;0.11;0.01;27.21;50.60
1;4;10;0.08;1000;824.2285714285714;150.2888888888889;0.02;1000;0.50000000;0.50000000;0.91;0.01;368.14835165;254.1267983510;0.09;0.01;30.94;38.51
1;5;10;0.08;1000;830.890868596882;146.95098039215685;0.02;1000;0.50000000;0.50000000;0.90;0.01;384.14253898;259.6167977753;0.10;0.01;31.12;40.68
1;6;10;0.08;1000;832.3153153153153;158.25;0.02;1000;0.50000000;0.50000000;0.89;0.01;368.51689189;250.6926839514;0.11;0.01;33.63;47.53
1;7;10;0.08;1000;816.8178733031674;108.83620689655173;0.02;1000;0.50000000;0.50000000;0.88;0.01;365.35294118;251.5541058951;0.12;0.01;26.36;36.16
1;8;10;0.08;1000;842.1628959276018;129.17241379310346;0.02;1000;0.50000000;0.50000000;0.88;0.01;378.77149321;244.5494745899;0.12;0.01;30.31;43.10
1;9;10;0.08;1000;836.4434389140272;101.61206896551724;0.02;1000;0.50000000;0.50000000;0.88;0.01;377.25565611;241.9640979261;0.12;0.01;25.33;37.64
1;10;10;0.08;1000;824.2199775533109;139.93577981651376;0.02;1000;0.50000000;0.50000000;0.89;0.01;380.33333333;258.2548615475;0.11;0.01;26.99;28.48
1;11;10;0.08;1000;824.3386363636364;140.0;0.02;1000;0.50000000;0.50000000;0.88;0.01;375.20340909;253.1468056596;0.12;0.01;35.37;82.75
1;12;10;0.08;1000;840.6813559322034;217.2086956521739;0.02;1000;0.50000000;0.50000000;0.89;0.01;378.96610169;242.0996175949;0.12;0.01;48.63;81.10
1;13;10;0.08;1000;833.6471885336273;123.0752688172043;0.02;1000;0.50000000;0.50000000;0.91;0.01;380.69018743;255.4726340539;0.09;0.01;35.01;75.38
1;14;10;0.08;1000;849.747178329571;130.07894736842104;0.02;1000;0.50000000;0.50000000;0.89;0.01;382.52934537;243.5190898210;0.11;0.01;34.41;61.07
1;15;10;0.08;1000;819.3711691259932;121.36134453781513;0.02;1000;0.50000000;0.50000000;0.88;0.01;363.60385925;248.4367761057;0.12;0.01;25.35;26.67
1;16;10;0.08;1000;831.4171364148816;167.46902654867256;0.02;1000;0.50000000;0.50000000;0.89;0.01;369.01691094;243.0504578898;0.11;0.01;31.74;40.44
1;17;10;0.08;1000;820.1283185840708;138.39583333333334;0.02;1000;0.50000000;0.50000000;0.90;0.01;373.68030973;256.0058951926;0.10;0.01;32.24;44.81
1;18;10;0.08;1000;816.3240223463687;175.67619047619047;0.02;1000;0.50000000;0.50000000;0.90;0.01;381.51955307;261.2218890445;0.10;0.01;38.15;58.25
1;19;10;0.08;1000;835.5397727272727;154.31666666666666;0.02;1000;0.50000000;0.50000000;0.88;0.01;377.45681818;253.6140508168;0.12;0.01;33.92;45.40
1;20;10;0.08;1000;815.4122222222222;139.32;0.02;1000;0.50000000;0.50000000;0.90;0.01;376.73888889;259.0886755939;0.10;0.01;34.62;62.06
2;1;100;0.06;10000;9992.0;nan;0.01;1000;0.50000000;0.50000000;1.00;0.00;1184.32600000;291.4299773942;0.00;0.00;nan;nan
2;2;100;0.06;10000;9992.0;nan;0.01;1000;0.50000000;0.50000000;1.00;0.00;1178.96600000;287.8887508118;0.00;0.00;nan;nan
2;3;100;0.06;10000;9992.0;nan;0.01;1000;0.50000000;0.50000000;1.00;0.00;1174.65900000;290.5620015057;0.00;0.00;nan;nan
